# Log started at 2023-10-30 22:52:31.
# Total number of iterations = 81.
# Number of averages = 100.
# Scan range (start, stop, step) = (0.001, 0.2, 0.0025).
# List of input parameters:
#   IN0 - RF generator.frequency (MHz): gen DG4, channel 2.
# List of actions:
#   ACT0 - Calibration.Stabilize lasers: calib iter 0, calib time (sec) 60, initial calib true.
#   ACT1 - Sorting: max iter 10000, MOT disable false.
#   ACT2 - Sequence.Clear.
#   ACT3 - Sequence.Delay: time (ms) 20.000000.
#   ACT4 - Sequence.Manual.
#   ACT5 - Sequence.Exec.
#   ACT6 - Camera.Shot.
# List of output parameters:
#   OUT0 - Trap.Filled: trap 58.
#          X         OUT0   STDEV_OUT0          IN0 
    0.001000        0.970        0.017     0.001000 
    0.003500        0.980        0.014     0.003500 
    0.006000        0.990        0.010     0.006000 
    0.008500        0.980        0.014     0.008500 
    0.011000        0.970        0.017     0.011000 
    0.013500        0.990        0.010     0.013500 
    0.016000        0.980        0.014     0.016000 
    0.018500        0.970        0.017     0.018500 
    0.021000        0.980        0.014     0.021000 
    0.023500        0.990        0.010     0.023500 
    0.026000        1.000        0.000     0.026000 
    0.028500        0.990        0.010     0.028500 
    0.031000        1.000        0.000     0.031000 
    0.033500        0.990        0.010     0.033500 
    0.036000        0.980        0.014     0.036000 
    0.038500        0.980        0.014     0.038500 
    0.041000        1.000        0.000     0.041000 
    0.043500        0.950        0.022     0.043500 
    0.046000        0.980        0.014     0.046000 
    0.048500        0.910        0.029     0.048500 
    0.051000        0.810        0.039     0.051000 
    0.053500        0.830        0.038     0.053500 
    0.056000        0.890        0.031     0.056000 
    0.058500        1.000        0.000     0.058500 
    0.061000        0.970        0.017     0.061000 
    0.063500        0.970        0.017     0.063500 
    0.066000        0.990        0.010     0.066000 
    0.068500        1.000        0.000     0.068500 
    0.071000        0.980        0.014     0.071000 
    0.073500        0.960        0.020     0.073500 
    0.076000        0.970        0.017     0.076000 
    0.078500        0.960        0.020     0.078500 
    0.081000        1.000        0.000     0.081000 
    0.083500        0.980        0.014     0.083500 
    0.086000        0.970        0.017     0.086000 
    0.088500        0.990        0.010     0.088500 
    0.091000        0.950        0.022     0.091000 
    0.093500        0.990        0.010     0.093500 
    0.096000        0.980        0.014     0.096000 
    0.098500        0.970        0.017     0.098500 
    0.101000        0.970        0.017     0.101000 
    0.103500        0.970        0.017     0.103500 
    0.106000        0.970        0.017     0.106000 
    0.108500        0.990        0.010     0.108500 
    0.111000        0.980        0.014     0.111000 
    0.113500        0.970        0.017     0.113500 
    0.116000        0.980        0.014     0.116000 
    0.118500        0.990        0.010     0.118500 
    0.121000        0.980        0.014     0.121000 
    0.123500        0.990        0.010     0.123500 
    0.126000        0.990        0.010     0.126000 
    0.128500        0.970        0.017     0.128500 
    0.131000        0.960        0.020     0.131000 
    0.133500        0.970        0.017     0.133500 
    0.136000        0.960        0.020     0.136000 
    0.138500        0.990        0.010     0.138500 
    0.141000        0.980        0.014     0.141000 
    0.143500        0.980        0.014     0.143500 
    0.146000        0.930        0.026     0.146000 
    0.148500        0.970        0.017     0.148500 
    0.151000        0.950        0.022     0.151000 
    0.153500        0.960        0.020     0.153500 
    0.156000        0.980        0.014     0.156000 
    0.158500        0.980        0.014     0.158500 
    0.161000        0.980        0.014     0.161000 
    0.163500        0.980        0.014     0.163500 
    0.166000        0.990        0.010     0.166000 
    0.168500        0.970        0.017     0.168500 
    0.171000        0.980        0.014     0.171000 
    0.173500        0.980        0.014     0.173500 
    0.176000        0.990        0.010     0.176000 
    0.178500        0.980        0.014     0.178500 
    0.181000        0.990        0.010     0.181000 
    0.183500        0.950        0.022     0.183500 
    0.186000        0.980        0.014     0.186000 
    0.188500        0.960        0.020     0.188500 
    0.191000        0.960        0.020     0.191000 
    0.193500        0.960        0.020     0.193500 
    0.196000        0.970        0.017     0.196000 
    0.198500        0.950        0.022     0.198500 
    0.201000        0.960        0.020     0.201000 
