# Log started at 2023-10-31 12:21:57.
# Total number of iterations = 201.
# Number of averages = 400.
# Scan range (start, stop, step) = (0.001, 0.4, 0.002).
# List of input parameters:
#   IN0 - RF generator.frequency (MHz): gen DG4, channel 2.
# List of actions:
#   ACT0 - Calibration.Stabilize lasers: calib iter 0, calib time (sec) 60, initial calib true.
#   ACT1 - Sorting: max iter 10000, MOT disable false.
#   ACT2 - Sequence.Clear.
#   ACT3 - Sequence.Delay: time (ms) 20.000000.
#   ACT4 - Sequence.Manual.
#   ACT5 - Sequence.Exec.
#   ACT6 - Camera.Shot.
# List of output parameters:
#   OUT0 - Trap.Filled: trap 58.
#          X         OUT0   STDEV_OUT0          IN0 
    0.001000        0.993        0.007     0.001000 
    0.003000        0.986        0.010     0.003000 
    0.005000        0.993        0.007     0.005000 
    0.007000        1.000        0.000     0.007000 
    0.009000        0.979        0.012     0.009000 
    0.011000        0.993        0.007     0.011000 
    0.013000        0.966        0.015     0.013000 
    0.015000        0.986        0.010     0.015000 
    0.017000        0.986        0.010     0.017000 
    0.019000        0.979        0.012     0.019000 
    0.021000        0.993        0.007     0.021000 
    0.023000        1.000        0.000     0.023000 
    0.025000        1.000        0.000     0.025000 
    0.027000        0.959        0.017     0.027000 
    0.029000        0.986        0.010     0.029000 
    0.031000        0.952        0.018     0.031000 
    0.033000        0.972        0.014     0.033000 
    0.035000        0.986        0.010     0.035000 
    0.037000        0.979        0.012     0.037000 
    0.039000        0.972        0.014     0.039000 
    0.041000        0.917        0.023     0.041000 
    0.043000        0.855        0.029     0.043000 
    0.045000        0.717        0.038     0.045000 
    0.047000        0.710        0.038     0.047000 
    0.049000        0.579        0.041     0.049000 
    0.051000        0.448        0.041     0.051000 
    0.053000        0.572        0.041     0.053000 
    0.055000        0.607        0.041     0.055000 
    0.057000        0.793        0.034     0.057000 
    0.059000        0.848        0.030     0.059000 
    0.061000        0.917        0.023     0.061000 
    0.063000        0.966        0.015     0.063000 
    0.065000        0.986        0.010     0.065000 
    0.067000        0.959        0.017     0.067000 
    0.069000        0.986        0.010     0.069000 
    0.071000        0.979        0.012     0.071000 
    0.073000        0.986        0.010     0.073000 
    0.075000        0.972        0.014     0.075000 
    0.077000        0.993        0.007     0.077000 
    0.079000        0.966        0.015     0.079000 
    0.081000        0.986        0.010     0.081000 
    0.083000        0.979        0.012     0.083000 
    0.085000        0.986        0.010     0.085000 
    0.087000        0.986        0.010     0.087000 
    0.089000        0.972        0.014     0.089000 
    0.091000        0.986        0.010     0.091000 
    0.093000        0.972        0.014     0.093000 
    0.095000        0.993        0.007     0.095000 
    0.097000        0.986        0.010     0.097000 
    0.099000        0.966        0.015     0.099000 
    0.101000        0.993        0.007     0.101000 
    0.103000        0.993        0.007     0.103000 
    0.105000        0.986        0.010     0.105000 
    0.107000        0.993        0.007     0.107000 
    0.109000        0.986        0.010     0.109000 
    0.111000        0.959        0.017     0.111000 
    0.113000        0.966        0.015     0.113000 
    0.115000        0.972        0.014     0.115000 
    0.117000        0.993        0.007     0.117000 
    0.119000        0.993        0.007     0.119000 
    0.121000        0.979        0.012     0.121000 
    0.123000        0.966        0.015     0.123000 
    0.125000        0.979        0.012     0.125000 
    0.127000        0.986        0.010     0.127000 
    0.129000        0.979        0.012     0.129000 
    0.131000        0.986        0.010     0.131000 
    0.133000        0.959        0.017     0.133000 
    0.135000        0.931        0.021     0.135000 
    0.137000        0.959        0.017     0.137000 
    0.139000        0.855        0.029     0.139000 
    0.141000        0.897        0.025     0.141000 
    0.143000        0.834        0.031     0.143000 
    0.145000        0.807        0.033     0.145000 
    0.147000        0.772        0.035     0.147000 
    0.149000        0.890        0.026     0.149000 
    0.151000        0.876        0.027     0.151000 
    0.153000        0.917        0.023     0.153000 
    0.155000        0.903        0.025     0.155000 
    0.157000        0.903        0.025     0.157000 
    0.159000        0.910        0.024     0.159000 
    0.161000        0.966        0.015     0.161000 
    0.163000        0.972        0.014     0.163000 
    0.165000        0.986        0.010     0.165000 
    0.167000        0.959        0.017     0.167000 
    0.169000        0.972        0.014     0.169000 
    0.171000        0.979        0.012     0.171000 
    0.173000        0.959        0.017     0.173000 
    0.175000        0.966        0.015     0.175000 
    0.177000        0.966        0.015     0.177000 
    0.179000        0.972        0.014     0.179000 
    0.181000        0.959        0.017     0.181000 
    0.183000        0.979        0.012     0.183000 
    0.185000        0.966        0.015     0.185000 
    0.187000        0.945        0.019     0.187000 
    0.189000        0.952        0.018     0.189000 
    0.191000        0.979        0.012     0.191000 
    0.193000        0.952        0.018     0.193000 
    0.195000        0.952        0.018     0.195000 
    0.197000        0.945        0.019     0.197000 
    0.199000        0.952        0.018     0.199000 
    0.201000        0.883        0.027     0.201000 
    0.203000        0.938        0.020     0.203000 
    0.205000        0.924        0.022     0.205000 
    0.207000        0.910        0.024     0.207000 
    0.209000        0.821        0.032     0.209000 
    0.211000        0.834        0.031     0.211000 
    0.213000        0.869        0.028     0.213000 
    0.215000        0.848        0.030     0.215000 
    0.217000        0.807        0.033     0.217000 
    0.219000        0.766        0.035     0.219000 
    0.221000        0.745        0.036     0.221000 
    0.223000        0.766        0.035     0.223000 
    0.225000        0.745        0.036     0.225000 
    0.227000        0.690        0.039     0.227000 
    0.229000        0.724        0.037     0.229000 
    0.231000        0.634        0.040     0.231000 
    0.233000        0.634        0.040     0.233000 
    0.235000        0.703        0.038     0.235000 
    0.237000        0.600        0.041     0.237000 
    0.239000        0.572        0.041     0.239000 
    0.241000        0.572        0.041     0.241000 
    0.243000        0.455        0.041     0.243000 
    0.245000        0.531        0.042     0.245000 
    0.247000        0.476        0.042     0.247000 
    0.249000        0.386        0.041     0.249000 
    0.251000        0.448        0.041     0.251000 
    0.253000        0.434        0.041     0.253000 
    0.255000        0.379        0.040     0.255000 
    0.257000        0.303        0.038     0.257000 
    0.259000        0.324        0.039     0.259000 
    0.261000        0.331        0.039     0.261000 
    0.263000        0.313        0.039     0.263000 
    0.265000        0.215        0.034     0.265000 
    0.267000        0.229        0.035     0.267000 
    0.269000        0.194        0.033     0.269000 
    0.271000        0.181        0.032     0.271000 
    0.273000        0.181        0.032     0.273000 
    0.275000        0.139        0.029     0.275000 
    0.277000        0.146        0.030     0.277000 
    0.279000        0.083        0.023     0.279000 
    0.281000        0.076        0.022     0.281000 
    0.283000        0.049        0.018     0.283000 
    0.285000        0.049        0.018     0.285000 
    0.287000        0.049        0.018     0.287000 
    0.289000        0.014        0.010     0.289000 
    0.291000        0.000        0.000     0.291000 
    0.293000        0.000        0.000     0.293000 
    0.295000        0.000        0.000     0.295000 
    0.297000        0.014        0.010     0.297000 
    0.299000        0.000        0.000     0.299000 
    0.301000        0.007        0.007     0.301000 
    0.303000        0.007        0.007     0.303000 
    0.305000        0.035        0.015     0.305000 
    0.307000        0.021        0.012     0.307000 
    0.309000        0.000        0.000     0.309000 
    0.311000        0.042        0.017     0.311000 
    0.313000        0.049        0.018     0.313000 
    0.315000        0.083        0.023     0.315000 
    0.317000        0.076        0.022     0.317000 
    0.319000        0.028        0.014     0.319000 
    0.321000        0.028        0.014     0.321000 
    0.323000        0.049        0.018     0.323000 
    0.325000        0.056        0.019     0.325000 
    0.327000        0.083        0.023     0.327000 
    0.329000        0.153        0.030     0.329000 
    0.331000        0.160        0.031     0.331000 
    0.333000        0.236        0.036     0.333000 
    0.335000        0.215        0.034     0.335000 
    0.337000        0.285        0.038     0.337000 
    0.339000        0.389        0.041     0.339000 
    0.341000        0.375        0.040     0.341000 
    0.343000        0.514        0.042     0.343000 
    0.345000        0.493        0.042     0.345000 
    0.347000        0.583        0.041     0.347000 
    0.349000        0.639        0.040     0.349000 
    0.351000        0.688        0.039     0.351000 
    0.353000        0.778        0.035     0.353000 
    0.355000        0.771        0.035     0.355000 
    0.357000        0.708        0.038     0.357000 
    0.359000        0.826        0.032     0.359000 
    0.361000        0.813        0.033     0.361000 
    0.363000        0.847        0.030     0.363000 
    0.365000        0.861        0.029     0.365000 
    0.367000        0.785        0.034     0.367000 
    0.369000        0.889        0.026     0.369000 
    0.371000        0.917        0.023     0.371000 
    0.373000        0.910        0.024     0.373000 
    0.375000        0.910        0.024     0.375000 
    0.377000        0.903        0.025     0.377000 
    0.379000        0.931        0.021     0.379000 
    0.381000        0.931        0.021     0.381000 
    0.383000        0.958        0.017     0.383000 
    0.385000        0.924        0.022     0.385000 
    0.387000        0.965        0.015     0.387000 
    0.389000        0.938        0.020     0.389000 
    0.391000        0.944        0.019     0.391000 
    0.393000        0.931        0.021     0.393000 
    0.395000        0.958        0.017     0.395000 
    0.397000        0.944        0.019     0.397000 
    0.399000        0.917        0.023     0.399000 
    0.401000        0.979        0.012     0.401000 
