# Log started at 2023-11-14 11:16:23.
# Total number of iterations = 33.
# Number of averages = 600.
# Scan range (start, stop, step) = (173, 205, 1).
# List of input parameters:
#   IN0 - FPGA.frequency (MHz): Change init state true, unit 0, channel 12.
# List of actions:
#   ACT0 - Calibration.Stabilize lasers: calib iter 0, calib time (sec) 60, initial calib true.
#   ACT1 - Sorting: max iter 10000, MOT disable false.
#   ACT2 - Sequence.Clear.
#   ACT3 - Sequence.Manual.
#   ACT4 - Sequence.Exec.
#   ACT5 - Camera.Shot.
# List of output parameters:
#   OUT0 - Trap.Filled: trap 40.
#   OUT1 - Trap.Filled: trap 44.
#   OUT2 - Trap.Filled: trap 48.
#   OUT3 - Trap.Filled: trap 52.
#   OUT4 - Trap.Filled: trap 56.
#   OUT5 - Trap.Filled: trap 59.
#          X         OUT0   STDEV_OUT0         OUT1   STDEV_OUT1         OUT2   STDEV_OUT2         OUT3   STDEV_OUT3         OUT4   STDEV_OUT4         OUT5   STDEV_OUT5          IN0 
  173.000000        0.964        0.010        0.982        0.007        0.855        0.018        0.956        0.010        0.922        0.014        0.990        0.005   173.000000 
  174.000000        0.969        0.009        0.982        0.007        0.894        0.016        0.953        0.011        0.948        0.011        0.995        0.004   174.000000 
  175.000000        0.956        0.010        0.982        0.007        0.860        0.018        0.969        0.009        0.935        0.013        0.992        0.004   175.000000 
  176.000000        0.964        0.010        0.987        0.006        0.842        0.019        0.984        0.006        0.930        0.013        0.982        0.007   176.000000 
  177.000000        0.964        0.010        0.977        0.008        0.870        0.017        0.953        0.011        0.943        0.012        0.990        0.005   177.000000 
  178.000000        0.964        0.010        0.966        0.009        0.865        0.017        0.987        0.006        0.940        0.012        0.990        0.005   178.000000 
  179.000000        0.956        0.010        0.979        0.007        0.891        0.016        0.961        0.010        0.940        0.012        0.979        0.007   179.000000 
  180.000000        0.966        0.009        0.982        0.007        0.772        0.021        0.956        0.010        0.935        0.013        0.982        0.007   180.000000 
  181.000000        0.961        0.010        0.977        0.008        0.687        0.024        0.912        0.014        0.883        0.016        0.979        0.007   181.000000 
  182.000000        0.935        0.013        0.946        0.012        0.451        0.025        0.868        0.017        0.821        0.020        0.969        0.009   182.000000 
  183.000000        0.886        0.016        0.909        0.015        0.212        0.021        0.702        0.023        0.536        0.025        0.984        0.006   183.000000 
  184.000000        0.697        0.023        0.775        0.021        0.098        0.015        0.404        0.025        0.352        0.024        0.964        0.010   184.000000 
  185.000000        0.474        0.025        0.531        0.025        0.106        0.016        0.148        0.018        0.145        0.018        0.972        0.008   185.000000 
  186.000000        0.296        0.023        0.260        0.022        0.091        0.015        0.088        0.014        0.088        0.014        0.971        0.009   186.000000 
  187.000000        0.275        0.023        0.205        0.021        0.119        0.017        0.068        0.013        0.104        0.016        0.935        0.013   187.000000 
  188.000000        0.231        0.022        0.161        0.019        0.190        0.020        0.073        0.013        0.132        0.017        0.896        0.016   188.000000 
  189.000000        0.242        0.022        0.244        0.022        0.247        0.022        0.078        0.014        0.210        0.021        0.836        0.019   189.000000 
  190.000000        0.286        0.023        0.244        0.022        0.369        0.025        0.135        0.017        0.299        0.023        0.790        0.021   190.000000 
  191.000000        0.299        0.023        0.288        0.023        0.623        0.025        0.262        0.022        0.408        0.025        0.764        0.022   191.000000 
  192.000000        0.434        0.025        0.410        0.025        0.745        0.022        0.410        0.025        0.488        0.026        0.738        0.022   192.000000 
  193.000000        0.608        0.025        0.535        0.025        0.805        0.020        0.571        0.025        0.636        0.025        0.771        0.021   193.000000 
  194.000000        0.738        0.022        0.701        0.023        0.860        0.018        0.816        0.020        0.836        0.019        0.810        0.020   194.000000 
  195.000000        0.896        0.016        0.862        0.018        0.831        0.019        0.914        0.014        0.862        0.018        0.852        0.018   195.000000 
  196.000000        0.958        0.010        0.943        0.012        0.842        0.019        0.953        0.011        0.909        0.015        0.891        0.016   196.000000 
  197.000000        0.951        0.011        0.974        0.008        0.849        0.018        0.953        0.011        0.914        0.014        0.938        0.012   197.000000 
  198.000000        0.966        0.009        0.984        0.006        0.873        0.017        0.953        0.011        0.927        0.013        0.971        0.009   198.000000 
  199.000000        0.964        0.010        0.982        0.007        0.868        0.017        0.964        0.010        0.943        0.012        0.982        0.007   199.000000 
  200.000000        0.956        0.010        0.982        0.007        0.844        0.019        0.971        0.009        0.943        0.012        0.982        0.007   200.000000 
  201.000000        0.956        0.010        0.982        0.007        0.868        0.017        0.961        0.010        0.922        0.014        0.971        0.009   201.000000 
  202.000000        0.958        0.010        0.971        0.009        0.860        0.018        0.958        0.010        0.945        0.012        0.977        0.008   202.000000 
  203.000000        0.961        0.010        0.977        0.008        0.901        0.015        0.964        0.010        0.932        0.013        0.990        0.005   203.000000 
  204.000000        0.966        0.009        0.971        0.009        0.852        0.018        0.958        0.010        0.938        0.012        0.982        0.007   204.000000 
  205.000000        0.956        0.010        0.964        0.010        0.873        0.017        0.966        0.009        0.935        0.013        0.990        0.005   205.000000 
