"fg, MHz",Infidelity_Pi_Numerical,Infidelity_Pi_Theory,Infidelity_2Pi_Numerical,Infidelity_2Pi_Theory
0.1,3.920295946646668e-6,2.7338767694233874e-6,6.387349185121849e-7,2.676109062306635e-7
0.15,6.733836368733037e-6,6.115352382456279e-6,1.5717327818132176e-6,1.333067023953711e-6
0.2,1.0442943246924408e-5,1.0783001014796115e-5,4.499832625515232e-6,4.118739886927508e-6
0.25,1.6957126214633966e-5,1.667161321951549e-5,1.0316126250242696e-5,9.766004917353594e-6
0.3,2.4586726715902785e-5,2.3699051388509358e-5,1.684696449011369e-5,1.9538196978044202e-5
0.35,3.572800442352975e-5,3.1767488500888004e-5,3.356069325655131e-5,3.46907010417991e-5
0.4,4.514066841665443e-5,4.0764880114684824e-5,5.655526530512489e-5,5.6335678771179713e-5
0.45,5.4570902146888756e-5,5.056664553475343e-5,9.478006062346722e-5,8.531255878329058e-5
0.5,5.8969945317510764e-5,6.103753073345997e-5,0.00012068133610354526,0.00012207506146691993
0.55,6.712054109825338e-5,7.20336227212526e-5,0.0001635385160766445,0.00016660432791312313
0.6,9.260670361188605e-5,8.340448271028203e-5,0.0002139764963268176,0.0002183557705496213
0.65,9.135165545359758e-5,9.499536362525794e-5,0.0003010272088102006,0.00027624471246085754
0.7,0.00011335146657343032,0.00010664947632069181,0.0003251305672139493,0.00033867293133341944
0.75,0.00011699834487521876,0.00011821026828088146,0.0003616653320558383,0.00040359510117634755
0.8,0.00012975533143355644,0.00012952367861564131,0.000503580552740801,0.00046862107157930814
0.85,0.00015174174134091611,0.0001404403338169576,0.0005834457093419898,0.0005311471750141178
0.9,0.00017526297258685375,0.00015081764999448012,0.0006015304339976879,0.0005885075175881042
0.95,0.00014415056852967734,0.0001605218091353891,0.0006210073543133632,0.0006381346568593033
1.0,0.00015782427912192087,NaN,0.0006613584451476973,NaN
1.05,0.00016724797462319696,0.0001774299515317238,0.0007581856412768317,0.000705350891863934
1.1,0.00017805449696983722,0.00018442556953637533,0.0007035742673338063,0.0007196494184307806
1.15,0.0002144217660724479,0.0001903339319122733,0.0007114755695529773,0.0007198454140410669
1.2,0.00018618128684544377,0.00019508835064215366,0.0008060934727031066,0.0007058362834324693
1.25,0.00019783460003308662,0.00019863865383275693,0.00066918658455839,0.0006781947859273332
1.3,0.0002067461590286035,0.0002009516250522319,0.0006175225037454712,0.000638136053364281
1.35,0.00019341520758853203,0.00020201117609291544,0.0005693027238833359,0.0005874446617606235
1.4,0.0002200243769271415,0.0002018182544594479,0.0005248271751379097,0.0005283670497250098
1.45,0.00021731051001616652,0.00020039049127925008,0.000465693855856264,0.00046347694116333725
1.5,0.0001860321243649654,0.0001977615995764102,0.0003675203092413648,0.0003955231991528205
1.55,0.00022363916408019158,0.00019398053686774423,0.00032339607027742634,0.0003272705907092438
1.6,0.0001864296460268866,0.00018911044976279806,0.00028828502221844854,0.0002613442139444075
1.65,0.00020142972851566743,0.00018322742161545964,0.00020799818913186385,0.00020008782582053698
1.7,0.00017338630423957557,0.00017641904722849952,0.00015303538862632138,0.0001454450660881967
1.75,0.00014675295484956052,0.00016878286110666506,0.00014112915863861986,9.887071094015006e-5
1.8,0.0001907084412614557,0.0001604246477507422,9.743634938763623e-5,6.127676280755418e-5
1.85,0.00014433053384799166,0.000151456663955652,5.5706422651291554e-5,3.301557647872173e-5
1.9,0.00014793925464062774,0.00014199580400140661,3.155532142729012e-5,1.3899538638598922e-5
1.95,0.00013234995365318802,0.00013216173899812137,2.06879099706736e-5,3.2542606337983583e-6
2.0,0.00013585790329551095,0.00012207506146691993,1.659002712561808e-5,0.0
2.05,0.0001172795971874363,0.00011185546551923833,1.7299765335487827e-5,2.754252788090315e-6
2.1,9.310768775017131e-5,0.00010161999175918085,2.1452472962146807e-5,9.947272821504232e-6
2.15,9.083170107870853e-5,9.14813643078783e-5,2.575103884006058e-5,1.9941743735811657e-5
2.2,9.045300238508247e-5,8.154644517439562e-5,3.272144269017563e-5,3.114797039488926e-5
2.25,7.761189687638392e-5,7.19148286214603e-5,4.186552221041584e-5,4.2126731270714585e-5
2.3,8.221296944899148e-5,6.267759524962269e-5,5.1844666639877524e-5,5.167325822547528e-5
2.35,5.631327057231683e-5,5.391624230950035e-5,4.559307739149254e-5,5.887756103866356e-5
2.4,5.598580465293601e-5,4.5701803311964984e-5,4.813288146798822e-5,6.315833882997307e-5
2.45,4.587113378395902e-5,3.809416640710427e-5,5.2115434879707045e-5,6.426985172811073e-5
2.5,3.877190152379306e-5,3.1141597312989745e-5,5.416131982338701e-5,6.228319462597953e-5
2.55,2.7627922098427682e-5,2.4880468863642476e-5,4.8311130337319597e-5,5.7545263400552955e-5
2.6,2.789356475918492e-5,1.9335195580298583e-5,4.5938883182383705e-5,5.0620199208348425e-5
2.65,2.535167480399725e-5,1.4518368117228505e-5,4.4260642706905884e-5,4.2219138628343576e-5
2.7,1.8566636234673695e-5,1.043107905576928e-5,4.018907474101496e-5,3.3124626980494713e-5
2.75,1.5592616493309563e-5,7.063428376289724e-6,2.9217270415160534e-5,2.4116052959179333e-5
2.8,1.1581908311741884e-5,4.395194080447662e-6,2.9637578911390072e-5,1.590196157021198e-5
2.85,1.2480494879674175e-5,2.396650911881509e-6,2.0141040372512187e-5,9.06416502113987e-6
2.9,7.66076332858745e-6,1.0295179718131996e-6,2.1056973754096653e-5,4.017295495098223e-6
2.95,6.966765100702155e-6,2.480142785557062e-7,1.5077162074939032e-5,9.859501795725815e-7
3.0,6.915899601889208e-6,0.0,1.4303234849966096e-5,0.0
3.05,6.153762027505394e-6,2.2818021064122548e-7,1.5155631047369944e-5,9.071022884922107e-7
3.1,7.119923863818656e-6,8.713475957564453e-7,1.7290045275175636e-5,3.4000968093174523e-6
3.15,6.2541408133443e-6,1.86564054249337e-6,1.6469761360271562e-5,7.055876875290581e-6
3.2,7.356461657725966e-6,3.1457935099767743e-6,1.7375932758856294e-5,1.1381587840684804e-5
3.25,7.963494929374981e-6,4.646357439132984e-6,1.6052020589740756e-5,1.5863656584320967e-5
3.3,7.960454728728195e-6,6.302869221286817e-6,1.5332448396909726e-5,2.001520559337471e-5
3.35,8.028163933082588e-6,8.052950859332136e-6,1.7138205057998235e-5,2.3417828088676707e-5
3.4,1.0977378836041218e-5,9.837320886959061e-6,1.798273215991575e-5,2.5754440440298126e-5
3.45,1.1494933353284331e-5,1.160070281536435e-5,1.6762384591473278e-5,2.6830905108753133e-5
3.5,1.2031713986226933e-5,1.3292617804175718e-5,1.701227614070433e-5,2.658523560835145e-5
3.55,1.1877359849643554e-5,1.4868051351882467e-5,1.4600111272411453e-5,2.5084351384920143e-5
3.6,1.3411673910557198e-5,1.6287986516668223e-5,1.6890591353679874e-5,2.250944375773549e-5
3.65,1.1583785511803946e-5,1.751979895596717e-5,1.3528842906285199e-5,1.913195334522253e-5
3.7,1.2782460103499815e-5,1.8537511857179074e-5,1.4422511400047355e-5,1.5282871546664733e-5
3.75,1.3995235950914342e-5,1.9321911568827892e-5,1.344746186782153e-5,1.131851374604581e-5
3.8,1.6419254360577895e-5,1.986052737929283e-5,1.4225247689458875e-5,7.586046424392038e-6
3.85,1.371059582933043e-5,2.0147481380515766e-5,1.4270671638616506e-5,4.3918880490251005e-6
3.9,1.5688102008248883e-5,2.0183216652315117e-5,1.2734050937712738e-5,1.9756738706679455e-6
3.95,1.4604877285440132e-5,1.997411406949018e-5,1.2407198701325228e-5,4.918289786748583e-7
4.0,1.480483125648746e-5,1.9532009834707188e-5,1.4249139751010276e-5,0.0
4.05,1.460238540862413e-5,1.8873627347240735e-5,1.2129048209574833e-5,4.6473134326703625e-7
4.1,1.1545391707779018e-5,1.801993820954016e-5,1.0757866251043247e-5,1.763917104241911e-6
4.15,1.390356604735743e-5,1.6995468035638724e-5,1.097424023444038e-5,3.704790268499547e-6
4.2,1.3755265350190449e-5,1.5827563249898578e-5,1.0721486363718391e-5,6.0455912023725355e-6
4.25,1.4237195051669538e-5,1.4545635250694286e-5,1.0896719744413197e-5,8.520635856524546e-6
4.3,1.3059873672283118e-5,1.318039816737945e-5,1.1389813185713749e-5,1.0866309010502125e-5
